gene,comparison,log2fc,pvals_adj,significant,direction
HSP90B1,100PE vs Control,1.3180328607559204,0.0,True,Up
SEC61B,100PE vs Control,1.3606947660446167,0.0,True,Up
HSPA5,100PE vs Control,1.336060881614685,0.0,True,Up
SEC61G,100PE vs Control,0.9476711750030518,2.0473767086521986e-277,True,Up
PDIA3,100PE vs Control,1.0150322914123535,3.0296504220461296e-272,True,Up
DAD1,100PE vs Control,0.9239422082901001,6.406441215050291e-174,True,Up
CANX,100PE vs Control,0.5123169422149658,7.300290460968797e-59,True,Up
CALR,100PE vs Control,0.42003872990608215,5.5558622912383e-42,False,Up
XBP1,100PE vs Control,0.7344914078712463,1.0151188855564155e-33,True,Up
PDIA6,100PE vs Control,0.4409320056438446,6.152213082925079e-22,False,Up
PDIA4,100PE vs Control,0.5134664177894592,1.0482152590581781e-19,True,Up
DNAJB11,100PE vs Control,0.5801246762275696,3.115864987719747e-08,True,Up
DDIT3,100PE vs Control,0.5653387308120728,5.539895085538691e-06,True,Up
DERL2,100PE vs Control,0.47768157720565796,0.001364654576817709,False,Up
RPN2,100PE vs Control,0.09457757323980331,0.008495542637945256,False,Up
DERL3,100PE vs Control,1.5436033010482788,0.06548033815166947,False,Up
EIF2S1,100PE vs Control,0.26684385538101196,0.9998735037283797,False,Up
EIF2A,100PE vs Control,0.27444952726364136,0.9998735037283797,False,Up
DNAJC3,100PE vs Control,0.15009216964244843,0.9998735037283797,False,Up
ERN2,100PE vs Control,0.4055711627006531,0.9998735037283797,False,Up
EDEM2,100PE vs Control,-0.006543018389493227,0.6998102897579905,False,Down
DERL1,100PE vs Control,0.009619182907044888,0.694637415784682,False,Up
RPN1,100PE vs Control,-0.07340186089277267,0.21337520480315308,False,Down
EIF2AK3,100PE vs Control,-0.28105080127716064,0.04330676656245537,False,Down
EDEM1,100PE vs Control,-0.5900659561157227,0.0104024997731378,True,Down
MAN1C1,100PE vs Control,-0.32329124212265015,0.0017531871879009964,False,Down
SEC61A1,100PE vs Control,-0.13032567501068115,0.0011891706016040689,False,Down
ATF6,100PE vs Control,-0.11255168914794922,0.0004221657575891826,False,Down
EDEM3,100PE vs Control,-0.3460466265678406,0.0003889749431688965,False,Down
SEC61A2,100PE vs Control,-0.4632638990879059,1.891982228644851e-05,False,Down
ERN1,100PE vs Control,-0.6337170004844666,1.8422838330332854e-05,True,Down
VCP,100PE vs Control,-0.16885311901569366,6.77704291565525e-06,False,Down
HYOU1,100PE vs Control,-0.38503971695899963,3.282346572664048e-06,False,Down
STT3B,100PE vs Control,-0.2340085208415985,4.1425015906866244e-07,False,Down
ATF4,100PE vs Control,-0.2052435576915741,2.636535847772032e-07,False,Down
TRAF2,100PE vs Control,-1.192054271697998,2.517129696001753e-07,True,Down
STT3A,100PE vs Control,-0.34072190523147583,7.171436757314286e-11,False,Down
MOGS,100PE vs Control,-0.6296027302742004,8.268815925562748e-13,True,Down
UGGT1,100PE vs Control,-0.5708923935890198,2.965149493387915e-15,True,Down
UGGT2,100PE vs Control,-0.5606690049171448,1.4467433547239693e-19,True,Down
MAN1B1,100PE vs Control,-0.7951845526695251,3.320934297161195e-30,True,Down
HSP90B1,500PE vs Control,2.076763391494751,0.0,True,Up
HSPA5,500PE vs Control,1.9133436679840088,0.0,True,Up
PDIA3,500PE vs Control,1.5741746425628662,0.0,True,Up
SEC61B,500PE vs Control,1.5928157567977905,0.0,True,Up
SEC61G,500PE vs Control,1.3453004360198975,0.0,True,Up
CALR,500PE vs Control,1.3224631547927856,0.0,True,Up
PDIA6,500PE vs Control,1.522605299949646,0.0,True,Up
DAD1,500PE vs Control,1.0936393737792969,2.0176928248865342e-243,True,Up
PDIA4,500PE vs Control,1.2486076354980469,2.184182219691739e-205,True,Up
RPN2,500PE vs Control,0.9389966130256653,1.567403371045915e-190,True,Up
CANX,500PE vs Control,0.9007051587104797,2.3233964168047483e-186,True,Up
DNAJB11,500PE vs Control,1.2091730833053589,5.859992067154633e-105,True,Up
XBP1,500PE vs Control,0.7244235277175903,6.28254959667486e-60,True,Up
DERL2,500PE vs Control,0.985802412033081,4.672311325432397e-55,True,Up
HYOU1,500PE vs Control,1.1602952480316162,5.994372292780192e-51,True,Up
VCP,500PE vs Control,0.4602493941783905,2.183273423125792e-48,False,Up
SEC61A1,500PE vs Control,0.37264004349708557,1.5136521216010205e-32,False,Up
RPN1,500PE vs Control,0.36145591735839844,2.0907875543870232e-30,False,Up
ATF6,500PE vs Control,0.34025895595550537,7.43743586396337e-22,False,Up
DNAJC3,500PE vs Control,0.3371671140193939,5.4865628300375995e-14,False,Up
STT3B,500PE vs Control,0.1612250804901123,1.716883891738649e-07,False,Up
EIF2S1,500PE vs Control,0.24026377499103546,1.7629612897719377e-06,False,Up
STT3A,500PE vs Control,0.12716546654701233,1.2256275429803974e-05,False,Up
DERL3,500PE vs Control,2.040064811706543,0.00027851309992422366,True,Up
DERL1,500PE vs Control,0.19328847527503967,0.00033041122775762,False,Up
EDEM2,500PE vs Control,0.23479244112968445,0.002905039341291666,False,Up
MAN1B1,500PE vs Control,-0.10149778425693512,0.17152974816516378,False,Down
UGGT1,500PE vs Control,-0.06542114168405533,0.25409262989736786,False,Down
EIF2A,500PE vs Control,-0.09764862805604935,0.9494815318860405,False,Down
DDIT3,500PE vs Control,-0.19307450950145721,1.0,False,Down
ERN2,500PE vs Control,1.055846929550171,1.0,False,Up
MAN1C1,500PE vs Control,-0.3550605773925781,0.6989839602317296,False,Down
EDEM1,500PE vs Control,-0.5966671109199524,0.5496775177737714,False,Down
MOGS,500PE vs Control,-0.39112862944602966,0.18971497264502696,False,Down
ERN1,500PE vs Control,-0.6615503430366516,0.015060916144509369,True,Down
SEC61A2,500PE vs Control,-0.7013819217681885,0.004260476037622536,True,Down
TRAF2,500PE vs Control,-1.1733087301254272,0.0002657336175612035,True,Down
EDEM3,500PE vs Control,-0.9892509579658508,2.3024862200902865e-06,True,Down
EIF2AK3,500PE vs Control,-1.2058171033859253,1.4779633120005544e-06,True,Down
UGGT2,500PE vs Control,-1.0015790462493896,1.5567005237566125e-24,True,Down
ATF4,500PE vs Control,-0.64579176902771,1.0584733980143629e-29,True,Down
